Date_Collected,LTC_Home,LTC_Home_Number,City,PHU,1st_dose_percentage_staff_vaccination_rate,2nd_dose_percentage_staff_vaccination_rate
2021-08-31,Riverview Gardens,M626,Chatham,CHATHAM-KENT,0.83,0.81
2021-08-31,Tilbury Manor Nursing Home,1064,Tilbury,CHATHAM-KENT,0.77,0.71
2021-08-31,Village on the Ridge,2765,Ridgetown,CHATHAM-KENT,0.93,0.84
2021-08-31,Bay Ridges,2895,Pickering,DURHAM,0.87,0.85
2021-08-31,Bon Air Long Term Care Residence,2613,Cannington,DURHAM,0.91,0.84
2021-08-31,Chartwell Ballycliffe Long Term Care Residence,2658,Ajax,DURHAM,0.92,0.85
2021-08-31,Chartwell Wynfield Long Term Care Residence,2885,Oshawa,DURHAM,0.91,0.88
2021-08-31,Extendicare Oshawa,2439,Oshawa,DURHAM,0.9,0.88
2021-08-31,Fairview Lodge,M522,Whitby,DURHAM,0.88,0.85
2021-08-31,Fosterbrooke,2625,Newcastle,DURHAM,0.96,0.94
2021-08-31,Glen Hill Strathaven,2605,Bowmanville,DURHAM,0.91,0.89
2021-08-31,Glen Hill Terrace,3053,Whitby,DURHAM,0.94,0.93
2021-08-31,Hillsdale Estates,M539,Oshawa,DURHAM,0.84,0.82
2021-08-31,Hillsdale Terraces,M630,Oshawa,DURHAM,0.89,0.88
2021-08-31,Lakeview Manor,M546,Beaverton,DURHAM,0.89,0.89
2021-08-31,Orchard Villa,2693,Pickering,DURHAM,0.75,0.73
2021-08-31,Port Perry Place,2629,Port Perry,DURHAM,0.9,0.9
2021-08-31,ReachView Village,2635,Uxbridge,DURHAM,0.91,0.91
2021-08-31,Sunnycrest Nursing Home,1013,Whitby,DURHAM,0.85,0.83
2021-08-31,The Village of Taunton Mills,2902,Whitby,DURHAM,0.95,0.78
2021-08-31,Thorntonview,2534,Oshawa,DURHAM,0.93,0.91
2021-08-31,Winbourne Park,2871,Ajax,DURHAM,0.9,0.9
2021-08-31,Caressant Care Bourget,1160,Bourget,EASTERN ONTARIO,0.97,0.97
2021-08-31,Centre d'Accueil Roger Seguin,2988,Clarence Creek,EASTERN ONTARIO,0.89,0.87
2021-08-31,Champlain Long Term Care Residence,925,L'orignal,EASTERN ONTARIO,0.99,0.99
2021-08-31,Dundas Manor Nursing Home,2674,Winchester,EASTERN ONTARIO,1,1
2021-08-31,Foyer St-Viateur Nursing Home,2746,Limoges,EASTERN ONTARIO,0.89,0.87
2021-08-31,Glen-Stor-Dun Lodge,M529,Cornwall,EASTERN ONTARIO,0.75,0.73
2021-08-31,Heartwood,2088,Cornwall,EASTERN ONTARIO,0.88,0.82
2021-08-31,Lancaster Long Term Care Residence,2680,Lancaster,EASTERN ONTARIO,0.9,0.84
2021-08-31,Maxville Manor,3000,Maxville,EASTERN ONTARIO,0.89,0.89
2021-08-31,Parisien Manor,1131,Cornwall,EASTERN ONTARIO,0.89,0.87
2021-08-31,Pinecrest (Plantagenet),2797,Plantagenet,EASTERN ONTARIO,0.81,0.77
2021-08-31,Residence Prescott et Russell,M567,Hawkesbury,EASTERN ONTARIO,0.8,0.76
2021-08-31,Sandfield Place,2778,Cornwall,EASTERN ONTARIO,0.94,0.93
2021-08-31,St. Jacques Nursing Home,2691,Embrun,EASTERN ONTARIO,0.96,0.93
2021-08-31,St. Joseph's Continuing Care Centre,3012,Cornwall,EASTERN ONTARIO,0.9,0.85
2021-08-31,The Palace,2642,Alexandria,EASTERN ONTARIO,0.91,0.88
2021-08-31,Tsiionkwanonhsote,2800,Akwesasne,EASTERN ONTARIO,0.76,0.75
2021-08-31,Woodland Villa,2743,Long Sault,EASTERN ONTARIO,0.87,0.83
2021-08-31,Brucelea Haven Long Term Care,M507,Walkerton,GREY-BRUCE,0.8,0.76
2021-08-31,Country Lane Long Term Care Residence,1027,Chatsworth,GREY-BRUCE,0.83,0.81
2021-08-31,Elgin Abbey Nursing Home,2725,Chesley,GREY-BRUCE,0.94,0.94
2021-08-31,Errinrung Long Term Care Home,2513,Thornbury,GREY-BRUCE,0.81,0.81
2021-08-31,Gateway Haven Long Term Care Home,M526,Wiarton,GREY-BRUCE,0.88,0.85
2021-08-31,Georgian Heights,2638,Owen Sound,GREY-BRUCE,0.88,0.86
2021-08-31,Golden Dawn Nursing Home,2705,Lion's Head,GREY-BRUCE,0.89,0.89
2021-08-31,Grey Gables Home for the Aged,M606,Markdale,GREY-BRUCE,0.9,0.9
2021-08-31,Hanover Care Centre,2770,Hanover,GREY-BRUCE,0.92,0.92
2021-08-31,Lee Manor Home,M549,Owen Sound,GREY-BRUCE,0.87,0.85
2021-08-31,Maple View,2690,Owen Sound,GREY-BRUCE,0.94,0.94
2021-08-31,Meaford Long Term Care - a peopleCare Community,2612,Meaford,GREY-BRUCE,0.97,0.93
2021-08-31,Parkview Manor Health Care Centre,1053,Chesley,GREY-BRUCE,0.79,0.79
2021-08-31,Pinecrest Manor,2600,Lucknow,GREY-BRUCE,0.89,0.89
2021-08-31,Rockwood Terrace Home for the Aged,M570,Durham,GREY-BRUCE,0.81,0.81
2021-08-31,Southampton Care Centre,2597,Southampton,GREY-BRUCE,0.93,0.87
2021-08-31,Summit Place,2624,Owen Sound,GREY-BRUCE,0.85,0.8
2021-08-31,The Village Seniors Community,2599,Hanover,GREY-BRUCE,0.93,0.92
2021-08-31,Trillium Court,2773,Kincardine,GREY-BRUCE,0.95,0.94
2021-08-31,Anson Place Care Centre,2786,Hagersville,HALDIMAND-NORFOLK,0.8,0.76
2021-08-31,Caressant Care Courtland,2826,Courtland,HALDIMAND-NORFOLK,0.83,0.83
2021-08-31,Cedarwood Village,2768,Simcoe,HALDIMAND-NORFOLK,0.88,0.83
2021-08-31,Delhi Long Term Care Centre,2660,Delhi,HALDIMAND-NORFOLK,0.81,0.81
2021-08-31,Dover Cliffs,1056,Port Dover,HALDIMAND-NORFOLK,0.83,0.79
2021-08-31,Edgewater Gardens Long Term Care Centre,2963,Dunnville,HALDIMAND-NORFOLK,0.91,0.9
2021-08-31,Gardenview Long Term Care Home,2961,Townsend,HALDIMAND-NORFOLK,0.74,0.71
2021-08-31,Grandview Lodge / Dunnville,M532,Dunnville,HALDIMAND-NORFOLK,0.83,0.82
2021-08-31,Norview Lodge,M624,Simcoe,HALDIMAND-NORFOLK,0.8,0.8
2021-08-31,The Norfolk Hospital Nursing Home,2621,Simcoe,HALDIMAND-NORFOLK,0.85,0.82
2021-08-31,Burnbrae Gardens Long Term Care Residence,2686,Campbellford,HALIBURTON KAWARTHA PR,0.93,0.9
2021-08-31,Caressant Care Lindsay Nursing Home,2701,Lindsay,HALIBURTON KAWARTHA PR,0.94,0.89
2021-08-31,Caressant Care on McLaughlin Road,2916,Lindsay,HALIBURTON KAWARTHA PR,0.84,0.63
2021-08-31,Case Manor Care Community,958,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.76
2021-08-31,Extendicare Cobourg,2851,Cobourg,HALIBURTON KAWARTHA PR,0.9,0.87
2021-08-31,Extendicare Haliburton,2644,Haliburton,HALIBURTON KAWARTHA PR,0.91,0.91
2021-08-31,Extendicare Kawartha Lakes,2838,Lindsay,HALIBURTON KAWARTHA PR,0.86,0.84
2021-08-31,Extendicare Port Hope,2925,Port Hope,HALIBURTON KAWARTHA PR,0.89,0.83
2021-08-31,Fenelon Court,2850,Fenelon Falls,HALIBURTON KAWARTHA PR,0.95,0.91
2021-08-31,Frost Manor,2703,Lindsay,HALIBURTON KAWARTHA PR,0.92,0.86
2021-08-31,Golden Plough Lodge,M531,Cobourg,HALIBURTON KAWARTHA PR,0.9,0.86
2021-08-31,Highland Wood,3030,Haliburton,HALIBURTON KAWARTHA PR,0.88,0.86
2021-08-31,Hope Street Terrace,2639,Port Hope,HALIBURTON KAWARTHA PR,0.95,0.93
2021-08-31,Hyland Crest,3050,Minden,HALIBURTON KAWARTHA PR,1,0.95
2021-08-31,Maplewood,2717,Brighton,HALIBURTON KAWARTHA PR,0.81,0.77
2021-08-31,Pinecrest Nursing Home (Bobcaygeon),2731,Bobcaygeon,HALIBURTON KAWARTHA PR,0.83,0.74
2021-08-31,Regency Long Term Care Home,2511,Port Hope,HALIBURTON KAWARTHA PR,0.93,0.86
2021-08-31,Streamway Villa,2666,Cobourg,HALIBURTON KAWARTHA PR,0.94,0.94
2021-08-31,Victoria Manor Home for the Aged,M589,Lindsay,HALIBURTON KAWARTHA PR,0.91,0.9
2021-08-31,Warkworth Place,2803,Warkworth,HALIBURTON KAWARTHA PR,0.9,0.86
2021-08-31,Allendale,M536,Milton,HALTON,0.87,0.78
2021-08-31,Bennett Health Care Centre,2816,Georgetown,HALTON,0.98,0.97
2021-08-31,Billings Court Manor,2938,Burlington,HALTON,0.76,0.71
2021-08-31,Burloak,2857,Burlington,HALTON,0.93,0.89
2021-08-31,CAMA Woodlands Nursing Home,2774,Burlington,HALTON,0.92,0.89
2021-08-31,Chartwell Brant Centre Long Term Care Residence,2900,Burlington,HALTON,0.95,0.9
2021-08-31,Chartwell Waterford Long Term Care Residence,2908,Oakville,HALTON,0.95,0.92
2021-08-31,Creek Way Village,M623,Burlington,HALTON,0.91,0.87
2021-08-31,Extendicare Halton Hills,2892,Georgetown,HALTON,0.93,0.87
2021-08-31,Hampton Terrace Care Centre,2846,Burlington,HALTON,0.88,0.87
2021-08-31,Maple Villa Long Term Care Centre,2408,Burlington,HALTON,0.94,0.91
2021-08-31,Mount Nemo Christian Nursing Home,2577,Burlington,HALTON,0.84,0.8
2021-08-31,Northridge,2862,Oakville,HALTON,0.89,0.88
2021-08-31,Post Inn Village,M620,Oakville,HALTON,0.9,0.87
2021-08-31,The Village of Tansley Woods,2854,Burlington,HALTON,0.97,0.95
2021-08-31,Wellington Park Care Centre,1023,Burlington,HALTON,0.87,0.79
2021-08-31,West Oak Village,2870,Oakville,HALTON,0.97,0.9
2021-08-31,Wyndham Manor Long Term Care Centre,2910,Oakville,HALTON,0.97,0.93
2021-08-31,Alexander Place,2861,Waterdown,HAMILTON,1,0.89
2021-08-31,Arbour Creek Long-Term Care Centre,2930,Hamilton,HAMILTON,0.87,0.84
2021-08-31,BayWoods Place,2581,Hamilton,HAMILTON,0.9,0.84
2021-08-31,Blackadar Continuing Care Centre,2641,Dundas,HAMILTON,0.94,0.84
2021-08-31,Chartwell Willowgrove Long Term Care Residence,2921,Ancaster,HAMILTON,0.95,0.92
2021-08-31,Clarion Nursing Home,2721,Stoney Creek,HAMILTON,0.84,0.8
2021-08-31,Dundurn Place Care Centre,2739,Hamilton,HAMILTON,0.92,0.89
2021-08-31,Extendicare Hamilton,2858,Hamilton,HAMILTON,0.91,0.89
2021-08-31,Grace Villa Nursing Home,2741,Hamilton,HAMILTON,0.73,0.67
2021-08-31,Hamilton Continuing Care,2706,Hamilton,HAMILTON,0.84,0.78
2021-08-31,Heritage Green Nursing Home,2776,Stoney Creek,HAMILTON,0.81,0.71
2021-08-31,Idlewyld Manor,2931,Hamilton,HAMILTON,0.93,0.91
2021-08-31,Macassa Lodge,M552,Hamilton,HAMILTON,0.91,0.86
2021-08-31,Orchard Terrace Care Centre,2477,Stoney Creek,HAMILTON,0.85,0.77
2021-08-31,Parkview Nursing Centre,2700,Hamilton,HAMILTON,0.89,0.88
2021-08-31,Pine Villa Nursing Home,2750,Stoney Creek,HAMILTON,0.83,0.8
2021-08-31,Queen's Garden,2853,Hamilton,HAMILTON,0.93,0.89
2021-08-31,Regina Gardens,2922,Hamilton,HAMILTON,0.91,0.87
2021-08-31,Ridgeview,2849,Stoney Creek,HAMILTON,0.89,0.86
2021-08-31,Shalom Village Nursing Home,2775,Hamilton,HAMILTON,0.88,0.86
2021-08-31,"St. Joseph's Villa, Dundas",2975,Dundas,HAMILTON,0.81,0.73
2021-08-31,St. Peter's Residence at Chedoke,2927,Hamilton,HAMILTON,0.89,0.85
2021-08-31,The Meadows,2844,Ancaster,HAMILTON,0.92,0.9
2021-08-31,The Village of Wentworth Heights,2841,Hamilton,HAMILTON,0.95,0.84
2021-08-31,The Wellington Nursing Home,2784,Hamilton,HAMILTON,0.94,0.9
2021-08-31,Victoria Gardens Long Term Care,2806,Hamilton,HAMILTON,0.89,0.87
2021-08-31,Wentworth Lodge,M592,Dundas,HAMILTON,0.93,0.9
2021-08-31,Belmont Long Term Care Facility,2901,Belleville,HASTINGS PRINCE EDWARD,0.89,0.84
2021-08-31,Caressant Care Marmora,2718,Marmora,HASTINGS PRINCE EDWARD,0.88,0.86
2021-08-31,Crown Ridge Place,2787,Trenton,HASTINGS PRINCE EDWARD,0.86,0.85
2021-08-31,E. J. McQuigge Lodge,2668,Cannifton,HASTINGS PRINCE EDWARD,1,0.98
2021-08-31,H.J. McFarland Memorial Home,M556,Picton,HASTINGS PRINCE EDWARD,0.94,0.93
2021-08-31,Hallowell House,891,Picton,HASTINGS PRINCE EDWARD,0.89,0.88
2021-08-31,Hastings Centennial Manor,M537,Bancroft,HASTINGS PRINCE EDWARD,0.73,0.67
2021-08-31,Hastings Manor Home for the Aged,M538,Belleville,HASTINGS PRINCE EDWARD,0.84,0.76
2021-08-31,Kentwood Park,893,Picton,HASTINGS PRINCE EDWARD,0.93,0.81
2021-08-31,Moira Place Long-Term Care Home,2977,Tweed,HASTINGS PRINCE EDWARD,0.85,0.8
2021-08-31,Stirling Manor Nursing Home,2470,Stirling,HASTINGS PRINCE EDWARD,0.85,0.83
2021-08-31,Trent Valley Lodge,2337,Trenton,HASTINGS PRINCE EDWARD,0.86,0.82
2021-08-31,West Lake Terrace,997,Picton,HASTINGS PRINCE EDWARD,0.95,0.88
2021-08-31,Westgate Lodge Nursing Home,2623,Belleville,HASTINGS PRINCE EDWARD,0.76,0.72
2021-08-31,Blue Water Rest Home,2987,Zurich,HURON-PERTH,0.96,0.93
2021-08-31,Braemar Retirement Centre,2788,Wingham,HURON-PERTH,0.73,0.72
2021-08-31,Caressant Care Listowel Nursing Home,2664,Listowel,HURON-PERTH,0.84,0.76
2021-08-31,Exeter Villa,2749,Exeter,HURON-PERTH,0.98,0.92
2021-08-31,Greenwood Court,3023,Stratford,HURON-PERTH,0.87,0.85
2021-08-31,Hillside Manor,1975,Stratford,HURON-PERTH,0.9,0.84
2021-08-31,Huronlea Home for the Aged,M601,Brussels,HURON-PERTH,0.76,0.76
2021-08-31,Huronview Home for the Aged,M541,Clinton,HURON-PERTH,0.7,0.67
2021-08-31,Kingsway Lodge Nursing Home,2726,St. Marys,HURON-PERTH,0.98,0.98
2021-08-31,Knollcrest Lodge,2996,Milverton,HURON-PERTH,0.8,0.79
2021-08-31,Maitland Manor,965,Goderich,HURON-PERTH,0.89,0.85
2021-08-31,Mitchell Nursing Home,2689,Mitchell,HURON-PERTH,0.93,0.88
2021-08-31,Queensway Long Term Care Home,933,Hensall,HURON-PERTH,0.98,0.95
2021-08-31,Ritz Lutheran Villa,3007,Mitchell,HURON-PERTH,0.93,0.88
2021-08-31,Seaforth Long Term Care Home,1135,Seaforth,HURON-PERTH,0.94,0.94
2021-08-31,Spruce Lodge Home for the Aged,M575,Stratford,HURON-PERTH,0.94,0.94
2021-08-31,The Fordwich Village Nursing Home,995,Fordwich,HURON-PERTH,1,1
2021-08-31,Wildwood Care Centre,2802,St. Marys,HURON-PERTH,0.95,0.9
2021-08-31,Arbour Heights,2982,Kingston,KINGSTON FRONTENAC L & A,0.95,0.94
2021-08-31,Extendicare Kingston,2616,Kingston,KINGSTON FRONTENAC L & A,0.97,0.89
2021-08-31,Fairmount Home for the Aged,M521,Glenburnie,KINGSTON FRONTENAC L & A,0.99,0.98
2021-08-31,Friendly Manor Nursing Home,934,Deseronto,KINGSTON FRONTENAC L & A,0.91,0.88
2021-08-31,Helen Henderson Nursing Home,2728,Amherstview,KINGSTON FRONTENAC L & A,0.9,0.84
2021-08-31,Lennox and Addington County General Hospital,7089,Napanee,KINGSTON FRONTENAC L & A,0.9,0.87
2021-08-31,Pine Meadow Nursing Home,2796,Northbrook,KINGSTON FRONTENAC L & A,0.79,0.73
2021-08-31,Providence Manor,3005,Kingston,KINGSTON FRONTENAC L & A,0.9,0.85
2021-08-31,Rideaucrest Home,M569,Kingston,KINGSTON FRONTENAC L & A,0.93,0.9
2021-08-31,The John M. Parrott Centre,M625,Napanee,KINGSTON FRONTENAC L & A,0.97,0.92
2021-08-31,The Village Green Nursing Home,2681,Selby,KINGSTON FRONTENAC L & A,0.89,0.89
2021-08-31,Trillium Retirement and Care Community,2790,Kingston,KINGSTON FRONTENAC L & A,0.99,0.98
2021-08-31,Afton Park Place Long Term Care Community,2872,Sarnia,LAMBTON,0.87,0.71
2021-08-31,Fiddick's Nursing Home,2673,Petrolia,LAMBTON,0.92,0.89
2021-08-31,Lambton Meadowview Villa,M547,Petrolia,LAMBTON,0.83,0.79
2021-08-31,Marshall Gowland Manor,M613,Sarnia,LAMBTON,0.91,0.88
2021-08-31,North Lambton Lodge,M559,Forest,LAMBTON,0.89,0.87
2021-08-31,Sumac Lodge,2573,Sarnia,LAMBTON,0.87,0.81
2021-08-31,Trillium Villa Nursing Home,2217,Sarnia,LAMBTON,0.88,0.87
2021-08-31,Twin Lakes Terrace Long Term Care Community,2889,Sarnia,LAMBTON,0.81,0.73
2021-08-31,Vision Nursing Home,2659,Sarnia,LAMBTON,0.89,0.84
2021-08-31,Watford Quality Care Centre,2652,Watford,LAMBTON,0.96,0.96
2021-08-31,Almonte Country Haven,2692,Almonte,"LEEDS,GRENVILLE,LANARK",1,0.99
2021-08-31,Bayfield Manor,2772,Kemptville,"LEEDS,GRENVILLE,LANARK",0.97,0.87
2021-08-31,Broadview Nursing Centre,2684,Smiths Falls,"LEEDS,GRENVILLE,LANARK",0.88,0.8
2021-08-31,Carveth Care Centre,2683,Gananoque,"LEEDS,GRENVILLE,LANARK",0.95,0.94
2021-08-31,Fairview Manor,2973,Almonte,"LEEDS,GRENVILLE,LANARK",0.88,0.88
2021-08-31,Hilltop Manor Nursing Home (Merrickville),2645,Merrickville,"LEEDS,GRENVILLE,LANARK",0.98,0.98
2021-08-31,Kemptville District Hospital,7073,Kemptville,"LEEDS,GRENVILLE,LANARK",0.92,0.91
2021-08-31,Lanark Lodge,M548,Perth,"LEEDS,GRENVILLE,LANARK",0.88,0.86
2021-08-31,Maple View Lodge,M554,Athens,"LEEDS,GRENVILLE,LANARK",0.87,0.86
2021-08-31,Perth Community Care Centre,962,Perth,"LEEDS,GRENVILLE,LANARK",0.74,0.71
2021-08-31,Rosebridge Manor,2671,Jasper,"LEEDS,GRENVILLE,LANARK",0.91,0.88
2021-08-31,Sherwood Park Manor,2640,Brockville,"LEEDS,GRENVILLE,LANARK",0.83,0.75
2021-08-31,St. Lawrence Lodge,M576,Brockville,"LEEDS,GRENVILLE,LANARK",0.82,0.82
2021-08-31,Stoneridge Manor,2637,Carleton Place,"LEEDS,GRENVILLE,LANARK",0.88,0.81
2021-08-31,Wellington House Nursing Home,2807,Prescott,"LEEDS,GRENVILLE,LANARK",0.95,0.85
2021-08-31,Babcock Community Care Centre,2626,Wardsville,MIDDLESEX-LONDON,0.86,0.86
2021-08-31,Chartwell London Long Term Care Residence,2919,London,MIDDLESEX-LONDON,0.96,0.93
2021-08-31,Chartwell Parkhill Long Term Care Residence,2632,Parkhill,MIDDLESEX-LONDON,0.9,0.86
2021-08-31,Chelsey Park,2655,London,MIDDLESEX-LONDON,0.95,0.89
2021-08-31,Country Terrace,907,Komoka,MIDDLESEX-LONDON,0.88,0.86
2021-08-31,Craigholme,2622,Ailsa Craig,MIDDLESEX-LONDON,0.84,0.72
2021-08-31,Dearness Home for Senior Citizens,M514,London,MIDDLESEX-LONDON,0.88,0.82
2021-08-31,Earls Court Village,3047,London,MIDDLESEX-LONDON,0.89,0.85
2021-08-31,Elmwood Place,3054,London,MIDDLESEX-LONDON,0.97,0.92
2021-08-31,Extendicare London,2173,London,MIDDLESEX-LONDON,0.91,0.86
2021-08-31,Henley Place,3045,London,MIDDLESEX-LONDON,0.76,0.65
2021-08-31,Kensington Village,2729,London,MIDDLESEX-LONDON,0.91,0.9
2021-08-31,McCormick Home,2965,London,MIDDLESEX-LONDON,1,0.98
2021-08-31,McGarrell Place,2964,London,MIDDLESEX-LONDON,0.92,0.9
2021-08-31,Meadow Park (London),2643,London,MIDDLESEX-LONDON,0.95,0.92
2021-08-31,Middlesex Terrace,1030,Delaware,MIDDLESEX-LONDON,0.86,0.83
2021-08-31,Mount Hope Centre for Long Term Care,C596,London,MIDDLESEX-LONDON,1,0.96
2021-08-31,Oneida Nation of the Thames Long-Term Care Home (Tsi' Nu: yoyantle' Na' Tuhuwati,3042,Southwold,MIDDLESEX-LONDON,0.96,0.93
2021-08-31,peopleCare Oakcrossing London,2980,London,MIDDLESEX-LONDON,0.91,0.87
2021-08-31,Sprucedale Care Centre,2946,Strathroy,MIDDLESEX-LONDON,0.9,0.88
2021-08-31,Strathmere Lodge,M627,Strathroy,MIDDLESEX-LONDON,0.85,0.83
2021-08-31,The Village of Glendale Crossing,2979,London,MIDDLESEX-LONDON,0.87,0.57
2021-08-31,Westmount Gardens Long Term Care Home,2878,London,MIDDLESEX-LONDON,0.95,0.92
2021-08-31,"Albright Gardens Homes, Incorporated",2983,Beamsville,NIAGARA,0.81,0.78
2021-08-31,Bella Senior Care Residences,2890,Niagara Falls,NIAGARA,0.78,0.75
2021-08-31,Crescent Park Lodge,2587,Fort Erie,NIAGARA,0.86,0.83
2021-08-31,Deer Park Villa,M611,Grimsby,NIAGARA,0.84,0.79
2021-08-31,Douglas H. Rapelje Lodge,M604,Welland,NIAGARA,0.89,0.87
2021-08-31,Extendicare St. Catharines,2321,St. Catharines,NIAGARA,0.94,0.89
2021-08-31,Foyer Richelieu Welland,3022,Welland,NIAGARA,0.91,0.82
2021-08-31,Garden City Manor,2364,St. Catharines,NIAGARA,0.82,0.77
2021-08-31,Gilmore Lodge,M528,Fort Erie,NIAGARA,0.9,0.84
2021-08-31,Heidehof Long Term Care Home,2960,St. Catharines,NIAGARA,0.87,0.86
2021-08-31,Kilean Lodge,1866,Grimsby,NIAGARA,0.93,0.89
2021-08-31,Linhaven,M551,St. Catharines,NIAGARA,0.86,0.82
2021-08-31,Maple Park Lodge,2891,Fort Erie,NIAGARA,0.87,0.72
2021-08-31,Mennonite Brethren Senior Citizens Home,3016,St. Catharines,NIAGARA,0.87,0.8
2021-08-31,Millennium Trail Manor,2948,Niagara Falls,NIAGARA,0.83,0.78
2021-08-31,"Niagara Health System, Welland Hospital Site, Extended Care Unit",2607,Welland,NIAGARA,0.87,0.82
2021-08-31,Niagara Ina Grafton Gage Village,2994,St. Catharines,NIAGARA,0.86,0.81
2021-08-31,Niagara Long Term Care Residence,2618,Niagara-On-The-Lake,NIAGARA,0.94,0.9
2021-08-31,Northland Pointe,M610,Port Colborne,NIAGARA,0.91,0.83
2021-08-31,Oakwood Park Lodge,2661,Niagara Falls,NIAGARA,0.89,0.85
2021-08-31,Pleasant Manor Retirement Village,2799,Virgil,NIAGARA,0.93,0.89
2021-08-31,R. H. Lawson Eventide Home,2991,Niagara Falls,NIAGARA,0.68,0.66
2021-08-31,Royal Rose Place,3049,Welland,NIAGARA,0.91,0.85
2021-08-31,Shalom Manor Long Term Care Home,3009,Grimsby,NIAGARA,0.83,0.79
2021-08-31,The Henley House,2909,St. Catharines,NIAGARA,0.9,0.83
2021-08-31,The Meadows of Dorchester,M515,Niagara Falls,NIAGARA,0.93,0.92
2021-08-31,The Woodlands of Sunset,M617,Welland,NIAGARA,0.89,0.88
2021-08-31,Tufford Nursing Home,2711,St. Catharines,NIAGARA,0.95,0.9
2021-08-31,United Mennonite Home,2951,Vineland,NIAGARA,0.76,0.7
2021-08-31,Upper Canada Lodge,M587,Niagara-On-The-Lake,NIAGARA,0.93,0.9
2021-08-31,Valley Park Lodge,2737,Niagara Falls,NIAGARA,0.98,0.93
2021-08-31,West Park Health Centre,1500,St. Catharines,NIAGARA,0.91,0.88
2021-08-31,Algonquin Nursing Home,3052,Mattawa,NORTH BAY-PARRY SOUND,0.86,0.83
2021-08-31,Au Chateau,M502,Sturgeon Falls,NORTH BAY-PARRY SOUND,0.86,0.81
2021-08-31,Belvedere Heights,M503,Parry Sound,NORTH BAY-PARRY SOUND,0.91,0.86
2021-08-31,Cassellholme,M509,North Bay,NORTH BAY-PARRY SOUND,0.93,0.91
2021-08-31,Eastholme Home for the Aged,M517,Powassan,NORTH BAY-PARRY SOUND,0.79,0.74
2021-08-31,Lakeland Long Term Care (Eldcap),2966,Parry Sound,NORTH BAY-PARRY SOUND,0.96,0.96
2021-08-31,Lakeland Long Term Care Services,2958,Parry Sound,NORTH BAY-PARRY SOUND,0.96,0.96
2021-08-31,Nipissing Manor Nursing Care Center,920,Corbeil,NORTH BAY-PARRY SOUND,0.89,0.85
2021-08-31,The West Nipissing General Hospital,7069,Sturgeon Falls,NORTH BAY-PARRY SOUND,0.86,0.84
2021-08-31,Waters Edge Care Community,2598,North Bay,NORTH BAY-PARRY SOUND,0.95,0.88
2021-08-31,Atikokan General Hospital,2756,Atikokan,NORTHWESTERN,0.87,0.85
2021-08-31,Birchwood Terrace,2620,Kenora,NORTHWESTERN,0.91,0.9
2021-08-31,EMO Health Centre,2831,Emo,NORTHWESTERN,0.83,0.83
2021-08-31,Northwood Lodge,M607,Red Lake,NORTHWESTERN,0.96,0.93
2021-08-31,Pinecrest (Kenora),M563,Kenora,NORTHWESTERN,0.95,0.93
2021-08-31,Princess Court,M608,Dryden,NORTHWESTERN,0.79,0.77
2021-08-31,Rainy River Health Centre,2820,Rainy River,NORTHWESTERN,0.98,0.95
2021-08-31,Rainycrest,3033,Fort Frances,NORTHWESTERN,0.89,0.86
